id,season,name,games,defPD,defQB HUR,defSACKS,defSOLO,defTD,defTFL,defTOT,defINT,team_defPD,team_defQB HUR,team_defSACKS,team_defSOLO,team_defTD,team_defTFL,team_defTOT,ms.tck,tk.game,ms.sck,sk.game,ms.tfl,tfl.game,ms.qbhur
537094,2013,Daniel McKinney,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537095,2013,Christian Milstead,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537096,2014,D'Joun Smith,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537097,2012,Jeremy McKnight,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537098,2013,Robert Lohnes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537099,2013,Jonathan Wallace,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537101,2015,Sharrod Neasman,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537102,2015,Jeremy Gaskins,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537103,2014,Martese Jackson,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537104,2013,Freedom Whitfield,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537105,2015,Cre'Von LeBlanc,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537106,2016,Anthony Hamilton,2,0,0,0,4,0,0,6,0,2,1,0,48,0,2,56,0.107,3.0,,0.0,0.0,0.0,0.0
537107,2012,Adarius Glanton,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537112,2014,Michael Harrop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537144,2016,Alex Manigo,2,0,1,0,0,0,0,1,0,5,4,3,66,0,15,120,0.008,0.5,0.0,0.0,0.0,0.0,0.25
537150,2016,Jaylian Williamson,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537162,2016,Christian Faber-Kinney,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,1.0,,0.0,,0.0,
537169,2015,Broc Malcom,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537174,2016,Josh Cook,8,0,0,0,2,0,0,2,0,2,1,3,42,0,10,76,0.026,0.2,0.0,0.0,0.0,0.0,0.0
537175,2015,Tyler Wright,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537178,2015,Tyler Graves,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537181,2016,Drew Sharkey,2,0,0,0,4,0,0,5,0,2,1,3,42,0,10,76,0.066,2.5,0.0,0.0,0.0,0.0,0.0
537182,2014,Danny Dillard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537183,2015,Ja'Juan Story,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537184,2013,David Porter,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537190,2016,Preston Miller,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537191,2014,Phil Taylor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537197,2014,Markis Merrill,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537198,2013,Telvin Brown,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537200,2016,Eli Jenkins,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537203,2015,Josh Barge,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537205,2015,Troymaine Pope,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537208,2015,Miles Jones,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537216,2014,Darrius Stephens,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537225,2013,Luke Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537229,2016,Malcolm Bell,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537231,2012,Matt Goggans,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537232,2014,Shaheed Swinson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537233,2015,Deyonta Wright,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537245,2013,Neil Williams,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537248,2016,Darius Spruill,2,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,,2.5,,0.0,,0.0,
537252,2016,Brandon McLaren,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,1.0,,0.0,,0.0,
